RegionID,SizeRank,RegionName,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
394773,214,"Las Cruces, NM",NM,173286,174906,175448,181717,188848,185951,182564,173476,175070,171139,173139,174946,180664,182331,182117,186567,188233,188233,185950,187883,193783,191921,195097,189197,194215,187550,188883,191987,197935,205378,210959,213219,214379,208697,210655,215386,218241,221392,222725,232761,245376,250424,251805,249945,250855,250362,253093,254478,261391,264438,271086,275676,279712,281388,271664,278667,272000,271782,254251,262384,270102,278762,286551,288051,292589,296797,300131,303050
394464,215,"Chico, CA",CA,269333,271000,280333,285800,288550,285217,279417,273650,277317,298150,317167,325500,323333,323333,326667,334500,331333,326333,306833,310000,309000,309000,309000,308333,313833,310500,312000,323167,341167,354500,360333,354000,360833,359167,359000,354667,355333,364167,371833,385667,400000,399583,393250,385250,387333,390000,390000,388000,391333,401333,416333,418000,416333,411333,408000,396000,384667,374667,355000,359250,352917,377917,377333,383667,372000,357000,364333,367667
394681,216,"Hilton Head Island, SC",SC,275333,273917,285417,289250,284002,271335,272502,279000,284167,293833,290667,285333,280667,277333,286667,281750,290917,286583,286500,296167,295500,300500,295500,295500,295500,293333,300000,308500,320167,330167,342167,350167,361167,360333,362500,358167,351817,348500,357750,367767,377083,376150,374817,383650,388500,398167,389833,389500,393333,410000,432167,450000,446670,431670,416670,425000,443367,454367,459367,446000,449667,454667,463000,481667,497304,503971,507304,490000
394346,217,"Athens, GA",GA,169317,179000,180600,188900,191967,188767,186133,183667,185700,184533,186400,181550,188217,191583,209167,212983,211983,213983,212667,212598,201681,200131,202167,206050,217983,227017,232383,225650,230150,232668,237352,236052,236867,233867,226317,214650,222317,239333,260733,272733,271733,283667,280000,278333,274967,268300,269633,258000,274667,285000,306083,312750,321083,315000,309150,296650,294983,289833,282667,282808,290975,307308,313833,326667,327333,329500,332167,337667
394765,218,"Lake Havasu City, AZ",AZ,173833,174667,178000,176667,183333,188333,190917,189250,189303,201470,205470,207883,204800,206133,213000,208833,212833,213500,222383,225350,223683,225050,226083,228067,230317,231633,234650,237983,248333,252650,254317,255150,264167,265250,264417,267800,281717,283383,283500,280167,290133,294933,294933,294967,300750,325750,330750,343167,339833,346467,343300,326300,317967,300133,301800,306833,308000,305000,296633,303300,311633,318333,322917,316250,321250,311667,316667,304967
394485,219,"Columbia, MO",MO,183150,179650,177983,178650,180667,187083,182917,177413,173329,176313,176483,176731,181414,187481,194883,195050,195122,193472,197472,199417,198000,185239,185805,185389,191650,193982,199548,204382,207900,209167,213167,214417,219250,214917,215167,206667,208400,212700,219950,232365,232732,241005,235357,234023,227150,225650,219817,221500,224050,242550,256217,273667,272333,266583,262000,266667,264750,253167,244500,250041,261141,264808,271100,274833,287650,286900,279900,275400
395114,220,"Springfield, IL",IL,123083,125667,127917,131750,130417,133167,128083,128917,125583,122833,117333,115000,118333,124000,132667,138333,143250,141917,142417,136167,133500,125667,122583,120583,126417,136333,145667,148833,152000,152333,153333,149333,142083,137167,130000,124317,121733,126067,130333,134667,138667,144333,145167,146000,140667,143000,138667,140833,132500,133833,139967,150300,155300,157667,155667,153667,142817,139483,129317,127833,131167,139500,142833,142833,145333,152833,157000,159333
394872,222,"Monroe, LA",LA,146667,151167,153333,152333,148333,146500,157833,164042,170875,160208,148817,140900,138883,149400,157483,164917,170250,167083,164167,156333,154300,157467,156633,158333,161667,168333,175333,181000,187333,194500,188833,186333,177750,177417,183750,184083,182333,181167,181583,196667,195833,193167,188333,193000,196000,187833,173833,168250,176217,183383,198967,202833,214167,207500,197333,188333,181667,180667,167333,168500,168500,175417,170917,173583,178333,186667,186833,182667
394565,223,"Elkhart, IN",IN,142250,143583,148473,149932,155765,159875,163266,162933,157266,150917,145750,144417,147500,153881,158531,164364,166983,167100,163433,163267,166317,166650,162067,157917,155917,162333,166333,173167,179833,183782,186282,182182,181900,179400,174333,169500,171815,178422,186922,192225,201478,206145,214026,213167,212333,212667,206833,209667,200938,207604,208642,221038,227705,229667,220333,212000,213650,216650,212633,204983,206317,211167,217167,220833,225000,226667,226667,226250
394726,224,"Johnson City, TN",TN,145833,146167,150833,150500,150333,144667,141833,142667,144333,149167,152750,155750,152417,151317,151650,153317,151167,154500,155333,156500,152500,151667,150500,150500,155833,158667,159000,161000,163667,171417,170750,169750,172333,172333,171667,166667,166667,171958,178625,189958,195500,202033,205700,208200,209050,204050,195717,191000,191000,202067,216067,231233,235533,233867,229117,232083,231417,224333,219333,212217,213883,215550,229667,244667,256333,260000,255500,261000
